state,type,portal,project_id,project_name,bid_due_date,document_url,file_name,file_size,spec_format,divisions,gcs_path,retrieved_date,status,doc_type
Maine,Vertical,maine_vertical,3548,3548,,https://www.maine.gov/dafs/bgs/sites/maine.gov.dafs.bgs/files/inline-files/3548_Bid_Tabulation_DVEM.pdf,3548_Bid_Tabulation_DVEM.pdf,127376,,,gs://specindex-ai-raw-documents/specs/MAINE/3548/bid_tab_3548_Bid_Tabulation_DVEM.pdf,2026-08-07,downloaded,bid_tab
Maine,Vertical,maine_vertical,3831,3831,,https://www.maine.gov/dafs/bgs/sites/maine.gov.dafs.bgs/files/inline-files/3831_Project_Manual.pdf,3831_Project_Manual.pdf,25680487,CSI,00;01;02;03;04;05;06;07;08;09;10;11;12;13;14;21;22;23;26;27;28;31;32;33,gs://specindex-ai-raw-documents/specs/MAINE/3831/specbook_3831_Project_Manual.pdf,2026-08-07,downloaded,specbook
Maine,Vertical,maine_vertical,3831,3831,,https://www.maine.gov/dafs/bgs/sites/maine.gov.dafs.bgs/files/inline-files/3831_Addendum_1_CMCC.pdf,3831_Addendum_1_CMCC.pdf,12332214,CSI,21;23;26;27,gs://specindex-ai-raw-documents/specs/MAINE/3831/addendum_3831_Addendum_1_CMCC.pdf,2026-08-07,downloaded,addendum
Maine,Vertical,maine_vertical,3831,3831,,https://www.maine.gov/dafs/bgs/sites/maine.gov.dafs.bgs/files/inline-files/3831_Drawings_MCCS.pdf,3831_Drawings_MCCS.pdf,37607976,,,gs://specindex-ai-raw-documents/specs/MAINE/3831/drawings_3831_Drawings_MCCS.pdf,2026-08-07,downloaded,drawings
Maine,Vertical,maine_vertical,3831,3831,,https://www.maine.gov/dafs/bgs/sites/maine.gov.dafs.bgs/files/inline-files/3831_Legal_Ad_MCCS.pdf,3831_Legal_Ad_MCCS.pdf,73965,,,gs://specindex-ai-raw-documents/specs/MAINE/3831/advertisement_3831_Legal_Ad_MCCS.pdf,2026-08-07,downloaded,advertisement
Maine,Vertical,maine_vertical,3831,3831,,https://www.maine.gov/dafs/bgs/sites/maine.gov.dafs.bgs/files/inline-files/3831_Notice_to_Contractors_MCCS.pdf,3831_Notice_to_Contractors_MCCS.pdf,123331,,,gs://specindex-ai-raw-documents/specs/MAINE/3831/notice_3831_Notice_to_Contractors_MCCS.pdf,2026-08-07,downloaded,notice
Maine,Vertical,maine_vertical,3831,3831,,https://www.maine.gov/dafs/bgs/sites/maine.gov.dafs.bgs/files/inline-files/3831_Pre_Bid_Sign_In-Sheet.pdf,3831_Pre_Bid_Sign_In-Sheet.pdf,750311,unreadable,,,2026-08-07,unreadable format,drawings
Maine,Vertical,maine_vertical,3831,3831,,https://www.maine.gov/dafs/bgs/sites/maine.gov.dafs.bgs/files/inline-files/3831_Bid_Tabulation_CMCC%202026_0.pdf,3831_Bid_Tabulation_CMCC%202026_0.pdf,168156,,,gs://specindex-ai-raw-documents/specs/MAINE/3831/bid_tab_3831_Bid_Tabulation_CMCC-202026_0.pdf,2026-08-07,downloaded,bid_tab
Maine,Vertical,maine_vertical,3845,3845,,https://www.maine.gov/dafs/bgs/sites/maine.gov.dafs.bgs/files/inline-files/3845_Project_Manual_DIFW.pdf,3845_Project_Manual_DIFW.pdf,2632837,CSI,00;01;23,gs://specindex-ai-raw-documents/specs/MAINE/3845/specbook_3845_Project_Manual_DIFW.pdf,2026-08-07,downloaded,specbook
Maine,Vertical,maine_vertical,3845,3845,,https://www.maine.gov/dafs/bgs/sites/maine.gov.dafs.bgs/files/inline-files/3845_Addendum_1_DIFW_0.pdf,3845_Addendum_1_DIFW_0.pdf,579568,,,gs://specindex-ai-raw-documents/specs/MAINE/3845/addendum_3845_Addendum_1_DIFW_0.pdf,2026-08-07,downloaded,addendum
Maine,Vertical,maine_vertical,3845,3845,,https://www.maine.gov/dafs/bgs/sites/maine.gov.dafs.bgs/files/inline-files/3845_Drawings_DIFW.pdf,3845_Drawings_DIFW.pdf,21562412,CSI,07,gs://specindex-ai-raw-documents/specs/MAINE/3845/drawings_3845_Drawings_DIFW.pdf,2026-08-07,downloaded,drawings
Maine,Vertical,maine_vertical,3845,3845,,https://www.maine.gov/dafs/bgs/sites/maine.gov.dafs.bgs/files/inline-files/3845_Legal_Ad_DIFW.pdf,3845_Legal_Ad_DIFW.pdf,100475,,,gs://specindex-ai-raw-documents/specs/MAINE/3845/advertisement_3845_Legal_Ad_DIFW.pdf,2026-08-07,downloaded,advertisement
Maine,Vertical,maine_vertical,3845,3845,,https://www.maine.gov/dafs/bgs/sites/maine.gov.dafs.bgs/files/inline-files/3845_Notice%20_to_Contractors_DIFW.pdf,3845_Notice%20_to_Contractors_DIFW.pdf,334731,,,gs://specindex-ai-raw-documents/specs/MAINE/3845/notice_3845_Notice-20_to_Contractors_DIFW.pdf,2026-08-07,downloaded,notice
Maine,Vertical,maine_vertical,3845,3845,,https://www.maine.gov/dafs/bgs/sites/maine.gov.dafs.bgs/files/inline-files/3845_Bid_Tabulation_Form.pdf,3845_Bid_Tabulation_Form.pdf,162323,,,gs://specindex-ai-raw-documents/specs/MAINE/3845/bid_tab_3845_Bid_Tabulation_Form.pdf,2026-08-07,downloaded,bid_tab
Maine,Vertical,maine_vertical,3809,3809,,https://www.maine.gov/dafs/bgs/sites/maine.gov.dafs.bgs/files/inline-files/3809_Project%20Manual_MCCS.pdf,3809_Project%20Manual_MCCS.pdf,8882846,CSI,00;01;02;03;04;05;06;07;08;09;10;11;12;13;14;21;22;23;26;27;28;31;32,gs://specindex-ai-raw-documents/specs/MAINE/3809/specbook_3809_Project-20Manual_MCCS.pdf,2026-08-07,downloaded,specbook
