state,type,portal,project_id,project_name,bid_due_date,document_url,file_name,file_size,spec_format,divisions,gcs_path,retrieved_date,status
Alaska,Vertical,alaska_vertical,,Snowden Administration Building Facade                                                         &nbs...,,https://aws.state.ak.us/OnlinePublicNotices/Notices/Attachment.aspx?id=163202,Attachment.aspx?id=163202,1094921,CSI,02;03;07;08;09,gs://specindex-ai-raw-documents/specs/ALASKA/unknown/specbook_Attachment.aspx-id-163202.pdf,2026-08-06,downloaded
Alaska,Vertical,alaska_vertical,,Fivemile Hydroelectric - Phase 1 Construction The Work under this Contract consists of the construction of a pioneer roa,,https://aws.state.ak.us/OnlinePublicNotices/Notices/Attachment.aspx?id=163254,Attachment.aspx?id=163254,8924067,CSI,00;01;02;31;40,gs://specindex-ai-raw-documents/specs/ALASKA/unknown/specbook_Attachment.aspx-id-163254.pdf,2026-08-06,downloaded
Alaska,Vertical,alaska_vertical,ADA-09745,"ADA-09745 Sealed Bid Offering - Proposal to Lease State Airport Land at Kodiak Airport In accordance with 17 AAC 45.300,",,https://aws.state.ak.us/OnlinePublicNotices/Notices/Attachment.aspx?id=163324,Attachment.aspx?id=163324,864554,unreadable,,,2026-08-06,unreadable format
Alaska,Vertical,alaska_vertical,,Regulatory Commission of Alaska: Notice of Utility Tariff Filing (ENSTAR) Notice of Utility Tariff FilingThe REGULATORY ,,https://aws.state.ak.us/OnlinePublicNotices/Notices/Attachment.aspx?id=163287,Attachment.aspx?id=163287,125212,,,,2026-08-06,downloaded
Alaska,Vertical,alaska_vertical,,Palmer Courthouse Janitorial ITB The Alaska Court System is seeking bids for a new janitorial contract for the Palmer Co,,https://aws.state.ak.us/OnlinePublicNotices/Notices/Attachment.aspx?id=163259,Attachment.aspx?id=163259,651922,,,,2026-08-06,downloaded
Alaska,Vertical,alaska_vertical,,"ITB 2527H058 Beaver Rural Airport Maintenance The Department of Transportation and Public Facilities, Division of Progra",,https://aws.state.ak.us/OnlinePublicNotices/Notices/Attachment.aspx?id=163258,Attachment.aspx?id=163258,1449546,,,,2026-08-06,downloaded
Alaska,Vertical,alaska_vertical,,RFP 2027-1200-0020 Applicant Medical Examinations Point of Contact:ITB documents and all questions should be directed to,,https://aws.state.ak.us/OnlinePublicNotices/Notices/Attachment.aspx?id=163251,Attachment.aspx?id=163251,4368542,,,,2026-08-06,downloaded
Alaska,Vertical,alaska_vertical,,ITB TITLE: 2527H032 Chenega Bay Rural Airport Maintenance 2527H032 ITB TITLE: 2527H032 Chenega Bay Rural Airport Mainten,,https://aws.state.ak.us/OnlinePublicNotices/Notices/Attachment.aspx?id=163212,Attachment.aspx?id=163212,2281985,,,,2026-08-06,downloaded
Alaska,Vertical,alaska_vertical,,"ITB 2527H056 Hot Mix Asphalt for Tok District -Federally Funded The Department of Transportation and Public Facilities, ",,https://aws.state.ak.us/OnlinePublicNotices/Notices/Attachment.aspx?id=163185,Attachment.aspx?id=163185,1156592,,,,2026-08-06,downloaded
Alaska,Vertical,alaska_vertical,,Request for Public Comment - City of Fairbanks Systemic Signal Uprades Stage 2 Request for Public CommentCity of Fairban,,https://aws.state.ak.us/OnlinePublicNotices/Notices/Attachment.aspx?id=163186,Attachment.aspx?id=163186,1041191,unreadable,,,2026-08-06,unreadable format
